strokeCount;radicalNumber;radicalVariants;radical;encoding;meaning;readingJ;positionJ;variant;common
1;1;;⼀;KANGXI RADICAL ONE Unicode: U+2F00 UTF-8: E2 BC 80;one, horizontal stroke;いち;;FALSE;FALSE
1;2;;⼁;KANGXI RADICAL LINE Unicode: U+2F01 UTF-8: E2 BC 81;vertical stroke;たてぼう;;FALSE;FALSE
1;3;;⼂;KANGXI RADICAL DOT Unicode: U+2F02 UTF-8: E2 BC 82;dot;てん;;FALSE;FALSE
1;4;;⼃;KANGXI RADICAL SLASH Unicode: U+2F03 UTF-8: E2 BC 83;diagonal sweeping stroke;の;;FALSE;FALSE
1;5;乚;⼄;KANGXI RADICAL SECOND Unicode: U+2F04 UTF-8: E2 BC 84;"the second ";おつ;;FALSE;FALSE
1;6;;⼅;KANGXI RADICAL HOOK Unicode: U+2F05 UTF-8: E2 BC 85;vertical stroke with a hook;はねぼう;;FALSE;FALSE
2;7;;⼆;KANGXI RADICAL TWO Unicode: U+2F06 UTF-8: E2 BC 86;two;に;;FALSE;FALSE
2;8;;⼇;KANGXI RADICAL LID Unicode: U+2F07 UTF-8: E2 BC 87;lid, top;なべぶた;かんむり;FALSE;FALSE
2;9;亻;⼈;KANGXI RADICAL MAN Unicode: U+2F08 UTF-8: E2 BC 88;person;ひと;;FALSE;FALSE
2;10;;⼉;KANGXI RADICAL LEGS Unicode: U+2F09 UTF-8: E2 BC 89;human legs;ひとあし;あし;FALSE;FALSE
2;11;;⼊;KANGXI RADICAL ENTER Unicode: U+2F0A UTF-8: E2 BC 8A;to enter;いる;;FALSE;FALSE
2;12;丷;⼋;KANGXI RADICAL EIGHT Unicode: U+2F0B UTF-8: E2 BC 8B;eight;はち;;FALSE;FALSE
2;13;;"⼌ ";KANGXI RADICAL DOWN BOX Unicode: U+2F0C UTF-8: E2 BC 8C;to enclose;けいがまえ;かまえ, けいがまえ;FALSE;FALSE
2;14;;⼍;KANGXI RADICAL COVER Unicode: U+2F0D UTF-8: E2 BC 8D;cover, crown;わかんむり;かんむり;FALSE;FALSE
2;15;;⼎;KANGXI RADICAL ICE Unicode: U+2F0E UTF-8: E2 BC 8E;ice;にすい;へん;FALSE;FALSE
2;16;;⼏;KANGXI RADICAL TABLE Unicode: U+2F0F UTF-8: E2 BC 8F;table;きにょう;つくり;FALSE;FALSE
2;17;;⼐;KANGXI RADICAL OPEN BOX Unicode: U+2F10 UTF-8: E2 BC 90;container, open box;かんにょう;にょう;FALSE;FALSE
2;18;刂;⼑;KANGXI RADICAL KNIFE Unicode: U+2F11 UTF-8: E2 BC 91;knife, sword;かたな;;FALSE;FALSE
2;19;;⼒;KANGXI RADICAL POWER Unicode: U+2F12 UTF-8: E2 BC 92;power;ちから;;FALSE;FALSE
2;20;;⼓;KANGXI RADICAL WRAP Unicode: U+2F13 UTF-8: E2 BC 93;to wrap;つつみがまえ;かまえ, つつみがまえ;FALSE;FALSE
2;21;;⼔;KANGXI RADICAL SPOON Unicode: U+2F14 UTF-8: E2 BC 94;spoon;さじ;つくり;FALSE;FALSE
2;22;;⼕;KANGXI RADICAL RIGHT OPEN BOX Unicode: U+2F15 UTF-8: E2 BC 95;box;はこがまえ;かまえ, はこがまえ;FALSE;FALSE
2;23;;⼖;KANGXI RADICAL HIDING ENCLOSURE Unicode: U+2F16 UTF-8: E2 BC 96;to conceal, hide;かくしがまえ;かまえ, はこがまえ;FALSE;FALSE
2;24;;⼗;KANGXI RADICAL TEN Unicode: U+2F17 UTF-8: E2 BC 97;ten;じゅう;;FALSE;FALSE
2;25;;⼘;KANGXI RADICAL DIVINATION Unicode: U+2F18 UTF-8: E2 BC 98;oracle;ぼく;;FALSE;FALSE
2;26;㔾;⼙;KANGXI RADICAL SEAL Unicode: U+2F19 UTF-8: E2 BC 99;stamp, seal;ふしづくり;つくり;FALSE;FALSE
2;27;;⼚;KANGXI RADICAL CLIFF Unicode: U+2F1A UTF-8: E2 BC 9A;cliff;がんだれ;たれ;FALSE;FALSE
2;28;;⼛;KANGXI RADICAL PRIVATE Unicode: U+2F1B UTF-8: E2 BC 9B;private, Katakana Mu;む;;FALSE;FALSE
2;29;;⼜;KANGXI RADICAL AGAIN Unicode: U+2F1C UTF-8: E2 BC 9C;again, right hand;また;;FALSE;FALSE
3;30;;⼝;KANGXI RADICAL MOUTH Unicode: U+2F1D UTF-8: E2 BC 9D;mouth;くち;;FALSE;FALSE
3;31;;⼞;KANGXI RADICAL ENCLOSURE Unicode: U+2F1E UTF-8: E2 BC 9E;border, territorial boundaries;くにがまえ;かまえ, くにがまえ;FALSE;FALSE
3;32;;⼟;KANGXI RADICAL EARTH Unicode: U+2F1F UTF-8: E2 BC 9F;earth;つち;;FALSE;FALSE
3;33;;⼠;KANGXI RADICAL SCHOLAR Unicode: U+2F20 UTF-8: E2 BC A0;man, scholar, samurai;さむらい;;FALSE;FALSE
3;34;;⼡;KANGXI RADICAL GO Unicode: U+2F21 UTF-8: E2 BC A1;to follow;のまた;;FALSE;FALSE
3;35;;⼢;KANGXI RADICAL GO SLOWLY Unicode: U+2F22 UTF-8: E2 BC A2;to go slowly;なつあし;あし;FALSE;FALSE
3;36;;⼣;KANGXI RADICAL EVENING Unicode: U+2F23 UTF-8: E2 BC A3;evening;ゆうべ;;FALSE;FALSE
